DEGREE PROGRAM,ABBREVIATION,DESCRIPTION,PROGRAM OUTCOMES
BS MARINE ENGINEERING,BSMaE,"BS Marine Engineering focuses on the design, construction, and maintenance of marine vessels and structures. The program includes courses in naval architecture, marine propulsion systems, ship design, and marine safety.","Graduates can work as marine engineers, naval architects, shipyard managers, or marine surveyors. They can find employment in shipbuilding companies, marine transportation firms, naval engineering firms, and government maritime agencies."
BS MARINE TECHNOLOGY,BSMaT,"BS Marine Technology focuses on the application of technology in marine environments. The program includes courses in marine electronics, underwater robotics, marine instrumentation, and oceanographic technology.","Graduates can work as marine technologists, marine electronics technicians, underwater robotics specialists, or oceanographic technicians. They can find employment in research institutions, marine technology firms, government agencies, and marine service companies."
BS MARINE TRANSPORTATION,BSMT,"BS Marine Transportation focuses on the navigation and operation of marine vessels. The program includes courses in nautical science, marine navigation, cargo handling, and maritime safety.","Graduates can work as ship officers, marine transport managers, port managers, or maritime safety officers. They can find employment in shipping companies, port authorities, logistics firms, and government maritime agencies."
BS MARITIME EDUCATION,BSMEd,"BS Maritime Education prepares students to teach maritime subjects and train future seafarers. The program includes courses in maritime pedagogy, ship operations, navigation, and marine engineering.","Graduates can work as maritime educators, training instructors, curriculum developers, or maritime consultants. They can find employment in maritime academies, training centers, shipping companies, and government maritime agencies."
BS MARITIME MANAGEMENT,BSMMgt,"BS Maritime Management focuses on the business and operational aspects of the maritime industry. The program includes courses in maritime law, port management, shipping operations, and logistics.","Graduates can work as maritime managers, shipping operations managers, port managers, or logistics coordinators. They can find employment in shipping companies, port authorities, logistics firms, and government maritime agencies."
BS MARITIME TRANSPORTATION,MSMT,"BS Maritime Transportation focuses on the skills and knowledge required for the navigation and operation of marine vessels. The program includes courses in nautical science, marine navigation, shipboard operations, cargo handling, and maritime safety. Students also receive training in the use of modern navigational equipment and maritime regulations.","Graduates can work as deck officers, ship captains, marine transport managers, port managers, or maritime safety officers. They can find employment in shipping companies, port authorities, logistics firms, government maritime agencies, and maritime consultancy firms. With additional certifications and experience, graduates can progress to higher ranks within the maritime industry, including roles such as master mariners or fleet operations managers."
BS MARKETING,BSMktg,"BS Marketing focuses on the strategies and techniques used to promote and sell products and services. The program includes courses in marketing research, consumer behavior, digital marketing, advertising, and sales management.","Graduates can work as marketing managers, brand managers, market research analysts, or digital marketing specialists. They can find employment in marketing agencies, corporate marketing departments, retail companies, and advertising firms."
BS MARKETING AND CORPORATE COMMUNICATIONS,BSMCC,"BS Marketing & Corporate Communications focuses on the integration of marketing strategies and corporate communication practices. The program includes courses in marketing communications, public relations, corporate branding, and media relations.","Graduates can work as corporate communications managers, public relations specialists, marketing communications managers, or brand managers. They can find employment in corporate communication departments, marketing agencies, public relations firms, and advertising companies."
BS MASS COMMUNICATION,BSMCom,"BS Mass Communication focuses on the study and practice of various forms of media, including print, broadcast, digital, and social media. The program includes courses in journalism, broadcasting, public relations, advertising, media ethics, and media production.","Graduates can work as journalists, reporters, editors, news anchors, public relations specialists, advertising executives, media producers, or social media managers. They can find employment in newspapers, magazines, television and radio stations, advertising agencies, public relations firms, digital media companies, and social media platforms."
BS MATHEMATICS,BSMath,"BS Mathematics provides a comprehensive study of mathematical concepts, theories, and techniques. The program includes courses in calculus, algebra, geometry, probability, statistics, and mathematical modeling.","Graduates can work as mathematicians, statisticians, data analysts, actuaries, or educators. They can find employment in research institutions, government agencies, financial institutions, insurance companies, consulting firms, educational institutions, and technology companies."
BS MATHEMATICS FOR TEACHER,BSMatT,"BS Mathematics for Teachers focuses on preparing students to teach mathematics at various educational levels. The program includes courses in mathematical pedagogy, curriculum development, educational psychology, and classroom management.","Graduates can work as mathematics teachers, curriculum developers, educational consultants, or instructional coordinators. They can find employment in elementary schools, secondary schools, educational publishing companies, curriculum development agencies, and educational organizations."
BS MECHANICAL DESIGN AND FABRICATION TECHNOLOGY,BSMDFT,"BS Mechanical Design and Fabrication Technology focuses on the design, analysis, and fabrication of mechanical systems and components. The program includes courses in mechanical engineering principles, computer-aided design (CAD), manufacturing processes, and materials science.","Graduates can work as mechanical designers, CAD technicians, product development engineers, or manufacturing engineers. They can find employment in engineering firms, manufacturing companies, research institutions, and product development companies."
BS MECHANICAL ENGINEERING,BSME,"BS Mechanical Engineering focuses on the design, analysis, and maintenance of mechanical systems and machinery. The program includes courses in thermodynamics, fluid mechanics, solid mechanics, dynamics, materials science, and mechanical design.","Graduates can work as mechanical engineers, design engineers, project managers, or research engineers. They can find employment in manufacturing companies, engineering consulting firms, government agencies, research institutions, and the automotive, aerospace, energy, and consumer goods industries."
BS MECHANICAL TECHNOLOGY,BSMeT,"BS Mechanical Technology focuses on the practical application of mechanical engineering principles to solve real-world problems. The program includes courses in machine design, manufacturing processes, materials testing, and industrial automation.","Graduates can work as mechanical engineering technicians, manufacturing technicians, quality control inspectors, or maintenance technicians. They can find employment in manufacturing companies, engineering firms, research laboratories, and government agencies."
BS MEDICAL LABORATORY SCIENCE,BMLS,"Bachelor in Medical Laboratory Science focuses on the analysis and testing of biological samples to diagnose and monitor diseases. The program covers clinical chemistry, hematology, microbiology, and immunology.","Graduates can become medical laboratory scientists, clinical laboratory technologists, research technicians, and quality control analysts. They can work in hospitals, diagnostic laboratories, research institutions, and public health organizations."
BS MEDICAL PHYSICS,BSMPhy,"BS Medical Physics focuses on the application of physics principles and techniques to medical imaging, radiation therapy, and radiation protection. The program includes courses in nuclear physics, radiation physics, medical imaging techniques, and radiation therapy.","Graduates can work as medical physicists, radiation therapists, diagnostic medical physicists, or radiation safety officers. They can find employment in hospitals, cancer treatment centers, medical imaging facilities, research institutions, and government agencies."
BS MEDICAL TECHNOLOGY,BSMTec,"BS Medical Technology focuses on the laboratory analysis of biological specimens to diagnose diseases and monitor patient health. The program includes courses in clinical laboratory techniques, microbiology, hematology, clinical chemistry, and immunology.","Graduates can work as medical technologists, laboratory technicians, clinical laboratory scientists, or laboratory managers. They can find employment in hospitals, diagnostic laboratories, blood banks, research institutions, and public health agencies."
BS METALLURGICAL ENGINEERING,BSMetE,"BS Metallurgical Engineering focuses on the extraction, processing, and properties of metals and alloys. The program includes courses in mineral processing, extractive metallurgy, physical metallurgy, materials science, and corrosion engineering.","Graduates can work as metallurgical engineers, materials engineers, process engineers, or quality control engineers. They can find employment in mining companies, metal processing plants, manufacturing companies, research institutions, and government agencies."
BS MICROBIOLOGY,BSMicr,"BS Microbiology focuses on the study of microorganisms and their interactions with humans, animals, plants, and the environment. The program includes courses in microbiology, immunology, virology, microbial genetics, and medical microbiology.","Graduates can work as microbiologists, research scientists, laboratory technicians, or quality control specialists. They can find employment in pharmaceutical companies, biotechnology firms, hospitals, research institutions, government agencies, and environmental consulting firms."
BS MINING ENGINEERING,BSMinE,"BS Mining Engineering focuses on the extraction of minerals and resources from the earth. The program includes courses in mine design, mine ventilation, rock mechanics, mineral processing, and mine safety.","Graduates can work as mining engineers, mine planners, mine managers, or mine safety engineers. They can find employment in mining companies, mineral exploration firms, consulting firms, government agencies, and research institutions."
BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,BSMBB,"BS Molecular Biology & Biotechnology focuses on the study and manipulation of biological molecules for applications in medicine, agriculture, and industry. The program includes courses in molecular genetics, genomics, bioinformatics, and bioprocessing.","Graduates can work as molecular biologists, biotechnologists, research scientists, or bioprocess engineers. They can find employment in biotechnology companies, pharmaceutical companies, research institutions, agricultural biotech firms, and government agencies."
BS NAVAL ARCHITECTURE,BSNArc,"BS Naval Architecture focuses on the design, construction, and maintenance of ships and marine structures. The program includes courses in ship design, hydrodynamics, marine engineering, ship stability, and naval architecture principles.","Graduates can work as naval architects, marine engineers, ship designers, or marine surveyors. They can find employment in shipyards, naval architecture firms, marine consultancy companies, government maritime agencies, and classification societies."
BS NAVAL ARCHITECTURE AND MARINE ENGINEERING,BSNAME,"BS Naval Architecture & Marine Engineering integrates principles of naval architecture and marine engineering to design and develop marine vessels and structures. The program includes courses in ship design, marine propulsion, marine systems, and shipbuilding processes.","Graduates can work as naval architects, marine engineers, ship designers, marine systems engineers, or offshore engineers. They can find employment in shipyards, naval architecture firms, marine engineering companies, offshore oil and gas companies, and government maritime agencies."
BS NURSING,BSN,"BS Nursing prepares students to provide patient care in various healthcare settings. The program includes courses in anatomy, physiology, pharmacology, nursing ethics, medical-surgical nursing, pediatric nursing, psychiatric nursing, and community health nursing. It also involves clinical rotations in hospitals, clinics, and community health centers.","Graduates can work as registered nurses (RNs) in hospitals, clinics, nursing homes, schools, and community health agencies. They can pursue specialized roles such as critical care nurses, pediatric nurses, psychiatric nurses, nurse educators, or nurse administrators. With further education and experience, they can advance to positions such as nurse practitioners, nurse anesthetists, nurse midwives, or nurse managers."
BS NURSING AND COMMUNITY HEALTH,BSNCH,"BS Nursing & Community Health integrates nursing principles with a focus on community and public health. The program emphasizes health promotion, disease prevention, community assessment, and population-based interventions. Students learn about epidemiology, health education, community organizing, and healthcare policy.","Graduates can work as community health nurses, public health nurses, health educators, community organizers, or healthcare administrators. They can find employment in public health departments, community health centers, non-profit organizations, government agencies, and international health organizations."
BS NUTRITION,BSNut,"BS Nutrition focuses on the study of food, nutrition, and their effects on health and disease. The program includes courses in human nutrition, dietetics, food science, nutritional biochemistry, community nutrition, and clinical nutrition. Students learn to assess nutritional needs, develop dietary plans, and promote healthy eating habits.","Graduates can work as nutritionists, dietitians, clinical dietitians, food service managers, or nutrition educators. They can find employment in hospitals, healthcare facilities, public health agencies, food industry companies, schools, sports organizations, and wellness centers."
BS NUTRITION AND DIETETICS,BSNutD,"BS Nutrition and Dietetics combines the study of nutrition science with the practical application of dietetics principles. The program includes courses in clinical nutrition, therapeutic diets, nutritional counseling, food service management, and community nutrition. Students gain hands-on experience through internships in clinical, community, and food service settings.","Graduates can work as registered dietitians, clinical dietitians, nutrition consultants, food service managers, or wellness coaches. They can find employment in hospitals, clinics, long-term care facilities, food industry companies, schools, universities, and public health agencies."
BS OCCUPATIONAL THERAPY,BSOT,"BS Occupational Therapy focuses on helping individuals with physical, developmental, or emotional challenges to participate in meaningful activities and improve their quality of life. The program includes courses in anatomy, kinesiology, therapeutic techniques, assistive technology, and psychosocial interventions. Students gain clinical experience through fieldwork placements in various healthcare settings.","Graduates can work as occupational therapists in hospitals, rehabilitation centers, schools, nursing homes, mental health facilities, and community-based organizations. They help clients develop skills for daily living, adapt their environments, and achieve greater independence. With experience and additional education, they can specialize in areas such as pediatrics, geriatrics, mental health, or rehabilitation therapy."
BS OFFICE ADMINISTRATION,BSOA,"BS Office Administration/Technology equips students with skills in office management, communication, computer applications, and administrative tasks. The program covers areas such as office procedures, document processing, office technology, and business communication.","Graduates can work as office administrators, administrative assistants, executive assistants, office managers, or records managers in various industries such as government agencies, corporations, non-profit organizations, and educational institutions."
BS OFFICE MANAGEMENT,BSOM,"BS Office Management focuses on the principles and practices of managing office operations efficiently and effectively. The program covers topics such as office organization, office automation, office supervision, and office budgeting.","Graduates can pursue careers as office managers, administrative supervisors, office coordinators, or operations managers in diverse settings such as businesses, government agencies, healthcare facilities, educational institutions, and non-profit organizations."
BS OFFICE SYSTEMS ADMINISTRATION,BSOSA,"BS Office Systems Administration emphasizes the administration and maintenance of office technology systems and networks. The program covers topics such as network administration, system security, database management, and technical support.","Graduates can work as office systems administrators, network administrators, IT support specialists, or systems analysts in organizations requiring technical expertise in managing office systems and networks."
BS PHARMACY,BSPhar,"BS Pharmacy focuses on the study of drugs, medications, and their effects on the human body. The program covers areas such as pharmacology, pharmaceutical chemistry, pharmacy practice, and patient care.","Graduates can work as pharmacists in various healthcare settings including hospitals, retail pharmacies, clinics, and pharmaceutical companies. They are responsible for dispensing medications, providing medication therapy management, counseling patients on medication use, and ensuring drug safety and efficacy."
BS PHYSICAL EDUCATION,BSPEd,"BS Physical Education emphasizes the study of physical fitness, sports, and exercise science. The program covers areas such as anatomy, physiology, kinesiology, sports psychology, and physical education pedagogy.","Graduates can work as physical education teachers, coaches, fitness instructors, or sports trainers in schools, colleges, community centers, fitness clubs, and sports organizations. They promote physical fitness, teach sports skills, and encourage healthy lifestyle habits."
BS PHYSICAL THERAPY,BSPT,"BS Physical Therapy focuses on the rehabilitation and treatment of individuals with physical impairments or disabilities. The program covers areas such as anatomy, biomechanics, therapeutic exercise, manual therapy, and patient care.","Graduates can work as physical therapists or physiotherapists in hospitals, rehabilitation centers, clinics, nursing homes, and private practices. They help patients improve mobility, relieve pain, restore function, and enhance quality of life through exercise, manual techniques, and other therapeutic interventions."
BS PHYSICS,BSPhys,"BS Physics provides a comprehensive study of the fundamental principles of physics including mechanics, electromagnetism, thermodynamics, quantum mechanics, and relativity. The program emphasizes analytical thinking, problem-solving, and experimental skills.","Graduates can pursue careers as physicists, research scientists, engineers, or educators in various fields including academia, research institutions, government laboratories, technology companies, and industries such as aerospace, defense, energy, and telecommunications."
BS PHYSICS FOR TEACHERS,BSPhyT,BS Physics for Teachers prepares students to teach physics at the secondary school level. The program combines physics content knowledge with pedagogical training and classroom experience.,"Graduates can work as physics teachers in middle schools or high schools. They are responsible for teaching physics concepts, conducting laboratory experiments, and engaging students in scientific inquiry and critical thinking."
BS PHYSICS-MATHEMATICS,BSPMat,"BS Physics-Mathematics is an interdisciplinary program that combines the study of physics with advanced mathematics. The program emphasizes mathematical methods and techniques used in theoretical physics, applied physics, and mathematical modeling.","Graduates can pursue careers in research, academia, or industry where a strong background in both physics and mathematics is required. They can work as researchers, data analysts, computational physicists, or mathematical modelers in fields such as physics, engineering, finance, and computer science."
BS POSTAL MANAGEMENT,BSPosM,"BS Postal Management focuses on the principles and practices of managing postal services and logistics operations. The program covers areas such as postal administration, mail processing, logistics management, and postal regulations.","Graduates can work in postal organizations, courier companies, logistics firms, e-commerce companies, or government agencies involved in mail and package delivery services. They can pursue careers in postal management, operations management, logistics coordination, or supply chain management."
BS PRACTICAL ARTS EDUCATION,BSPAEd,"BS Practical Arts Education prepares students to teach practical arts subjects such as home economics, industrial arts, agriculture, or vocational education. The program combines subject-specific knowledge with pedagogical training and classroom experience.","Graduates can work as practical arts teachers in schools, vocational institutions, community colleges, or technical training centers. They are responsible for teaching practical skills, hands-on techniques, and industry-specific knowledge to prepare students for careers in various trades and professions."
BS PSYCHOLOGY,BSPsyc,"BS Psychology focuses on the scientific study of behavior and mental processes. The program covers areas such as developmental psychology, abnormal psychology, social psychology, cognitive psychology, and research methods.","Graduates can work in diverse fields such as mental health, counseling, education, human resources, or research. They can pursue careers as counselors, therapists, case managers, human resource specialists, or research assistants in settings such as hospitals, clinics, schools, corporations, non-profit organizations, or research institutions."
BS PUBLIC ADMINISTRATION,BSPAdm,"BS Public Administration focuses on the study of government institutions, public policy, and administrative processes. The program covers areas such as public management, policy analysis, budgeting, public personnel administration, and governance.","Graduates can work in government agencies, non-profit organizations, international organizations, or the private sector in roles such as public administrators, policy analysts, program managers, or government affairs specialists. They are involved in policy development, program implementation, and public service delivery."
BS PUBLIC HEALTH,BSPH,"BS Public Health focuses on the promotion of health and prevention of disease in populations. The program covers areas such as epidemiology, biostatistics, environmental health, health education, and health policy.","Graduates can work in public health agencies, community health organizations, healthcare facilities, or non-profit organizations as public health educators, community health workers, health promotion specialists, or epidemiologists. They are involved in health education, disease prevention, community outreach, and health policy advocacy."
BS PUBLIC SAFETY,BSPS ,"BS in Public Safety (BSPS) program equips students with the knowledge and skills needed for careers in emergency management, law enforcement, fire services, and disaster response. Through a blend of theoretical study and practical training, students learn crisis management, risk assessment, and effective communication in high-pressure situations.","Graduates of the BSPS program are prepared for diverse roles in public safety. They can pursue careers in emergency management agencies, law enforcement, fire and rescue services, and homeland security. This includes positions such as emergency manager, police officer, firefighter, paramedic, border patrol agent, and homeland security specialist. Additionally, opportunities exist in community safety advocacy, where graduates can work in nonprofit organizations or government agencies focused on crime prevention and community resilience."
BS RADIO AND ELECTRONICS ENGINEERING,BSREE,"BS Radio & Electronics Engineering focuses on the design, development, and maintenance of radio communication systems, electronic devices, and telecommunications networks. The program covers areas such as circuit analysis, signal processing, electromagnetic theory, and wireless communication technologies.","Graduates can work as radio frequency engineers, telecommunications engineers, electronics design engineers, or network engineers in industries such as telecommunications, broadcasting, aerospace, defense, and electronics manufacturing."
BS RADIOLOGIC TECHNOLOGY,BSRT,"BS Radiologic Technology prepares students to operate medical imaging equipment such as X-ray machines, computed tomography (CT) scanners, and magnetic resonance imaging (MRI) scanners. The program covers radiographic techniques, patient positioning, radiation safety, and image interpretation.","Graduates can work as radiologic technologists or radiographers in hospitals, clinics, imaging centers, or outpatient facilities. They perform diagnostic imaging procedures to assist physicians in diagnosing and treating medical conditions."
BS REAL ESTATE,BSREst,"BS Real Estate focuses on the study of real estate markets, property valuation, real estate finance, land development, and property management. The program covers real estate law, real estate investment analysis, appraisal methods, and real estate brokerage.","Graduates can work in real estate brokerage firms, property management companies, real estate development firms, appraisal firms, or financial institutions. They can pursue careers as real estate agents, property managers, appraisers, real estate analysts, or mortgage brokers."
BS RELIGION TEACHER EDUCATION,BSRTEd,BS Religion Teacher Education prepares students to teach religious studies or theology in educational institutions. The program combines theological studies with pedagogical training and classroom experience.,"Graduates can work as religion teachers or theology teachers in religious schools, private schools, or parochial schools. They are responsible for teaching religious doctrine, scripture, ethics, and moral values to students."
BS RELIGIOUS EDUCATION,BSREd,"BS Religious Education focuses on the study of religious beliefs, practices, and traditions from a scholarly and educational perspective. The program covers theology, religious history, comparative religion, and religious education methodologies.","Graduates can work in religious education institutions, non-profit organizations, or community centers as religious educators, youth ministers, religious program coordinators, or community outreach workers. They facilitate religious instruction, spiritual formation, and community engagement activities."
BS RELIGIOUS STUDIES,BSRS,"BS Religious Studies explores various religious traditions, beliefs, practices, and their impact on society. The program includes comparative religion, religious history, theology, and philosophy of religion.","Graduates can work as religious educators, researchers, interfaith dialogue coordinators, or advisors in educational institutions, non-profit organizations, religious institutions, or government agencies."
BS RESPIRATORY THERAPY,BSRT,"BS Respiratory Therapy focuses on the treatment and care of patients with respiratory and cardiopulmonary disorders. The program covers topics such as pulmonary function testing, respiratory care techniques, and patient management.","Graduates can work as respiratory therapists in hospitals, clinics, rehabilitation centers, or home healthcare settings, providing therapeutic treatments and managing respiratory care programs."
BS RURAL DEVELOPMENT MANAGEMENT,BSRDM,"BS Rural Development Management focuses on the socio-economic development of rural areas. The program includes rural planning, agricultural development, community management, and sustainable development practices.","Graduates can work as rural development managers, community development officers, agricultural extension workers, or project coordinators in government agencies, non-governmental organizations (NGOs), and international development agencies."
BS SANITARY AND PUBLIC HEALTH ENGINEERING,BSSPHE,"BS Sanitary and Public Health Engineering focuses on the design and management of systems for water supply, waste disposal, and environmental health. The program covers topics such as sanitation systems, public health engineering, and environmental protection.","Graduates can work as sanitary engineers, public health engineers, environmental consultants, or project managers in public health departments, environmental agencies, and engineering firms."
BS SANITARY ENGINEERING,BSSE,"BS Sanitary Engineering specializes in the planning, design, and management of water supply, wastewater treatment, and sanitation systems. The program includes environmental engineering, hydraulics, and water quality management.","Graduates can work as sanitary engineers, environmental engineers, water resource managers, or consultants in engineering firms, government agencies, and environmental organizations."
BS SECONDARY EDUCATION,BSSED,"BS Secondary Education prepares students to teach in secondary schools. The program includes educational psychology, teaching methods, curriculum development, and subject-specific pedagogy.","Graduates can work as secondary school teachers, curriculum developers, educational consultants, or school administrators in public and private educational institutions."
BS SECRETARIAL ADMINISTRATION,BSecA,"BS Secretarial Administration focuses on administrative support, office management, and business communication skills. The program covers office procedures, document processing, and information management.","Graduates can work as executive assistants, administrative assistants, office managers, or records managers in various organizations, including corporate, government, and non-profit sectors."
BS SOCIAL SCIENCE,BSSSc,"BS Social Science provides a broad understanding of human society and social behavior. The program includes sociology, anthropology, political science, and economics.","Graduates can work as social researchers, policy analysts, community development workers, or educators in government agencies, research institutions, non-profit organizations, and educational institutions."
BS SOCIAL WORK,BSSW,"BS Social Work prepares students to support individuals, families, and communities in overcoming social challenges. The program includes social welfare policies, counseling techniques, and community organizing.","Graduates can work as social workers, case managers, community outreach coordinators, or counselors in social service agencies, healthcare facilities, schools, and non-profit organizations."
BS SOCIOLOGY,BSSoc,"BS Sociology studies human society, social institutions, and social relationships. The program covers sociological theory, research methods, social stratification, and cultural studies.","Graduates can work as sociologists, research analysts, policy advisors, or educators in research institutions, government agencies, non-profit organizations, and educational institutions."
BS SOFTWARE TECHNOLOGY,BSSTec,"BS Software Technology focuses on the development and application of software systems. The program includes programming, software engineering, systems analysis, and software project management.","Graduates can work as software developers, systems analysts, software engineers, or IT project managers in technology companies, software firms, and various industries requiring software solutions."
BS SPEECH PATHOLOGY,BSSP,"BS Speech Pathology prepares students to diagnose and treat speech, language, and communication disorders. The program covers speech therapy techniques, language development, and audiology.","Graduates can work as speech pathologists in hospitals, clinics, schools, and rehabilitation centers, providing therapy to individuals with communication disorders."
BS STATISTICS,BSStat,"BS Statistics focuses on the collection, analysis, interpretation, and presentation of data. The program includes statistical theory, probability, data analysis, and statistical computing.","Graduates can work as statisticians, data analysts, biostatisticians, or research analysts in government agencies, research institutions, healthcare organizations, and private industry."
BS SUPPLY MANAGEMENT,BSSMgt,"BS Supply Management focuses on the efficient management of supply chains and logistics operations. The program includes procurement, inventory management, logistics, and supply chain strategy.","Graduates can work as supply chain managers, logistics coordinators, procurement managers, or operations managers in manufacturing firms, logistics companies, retail businesses, and other organizations with complex supply chains."
BS TEACHING ARABIC,BSTAra,"BS Teaching Arabic prepares students to teach Arabic language and literature. The program includes Arabic linguistics, pedagogy, curriculum development, and cultural studies.","Graduates can work as Arabic language teachers in schools, language institutes, or cultural organizations, or as translators and cultural advisors in various sectors."
BS TEACHING CHEMISTRY,BSTCh,"BS Teaching Chemistry prepares students to teach chemistry at the secondary school level. The program includes chemistry content knowledge, teaching methods, and laboratory management.","Graduates can work as chemistry teachers in middle schools, high schools, or educational institutions, responsible for teaching chemistry concepts and conducting laboratory experiments."
BS TEACHING EDUCATION,BSTEd,"BS Teaching Education prepares students to teach at various educational levels. The program includes educational psychology, teaching methods, curriculum design, and classroom management.","Graduates can work as teachers, educational consultants, curriculum developers, or school administrators in primary, secondary, or tertiary educational institutions."
BS TEACHING MATHEMATICS,BSTM,"BS Teaching Mathematics prepares students to teach mathematics at the secondary school level. The program includes advanced mathematics content, pedagogy, and educational psychology.","Graduates can work as mathematics teachers in middle schools or high schools, teaching mathematical concepts and problem-solving skills."
BS TEACHING PHYSICS,BSTPh,"BS Teaching Physics prepares students to teach physics at the secondary school level. The program includes physics content knowledge, teaching methods, and laboratory management.","Graduates can work as physics teachers in middle schools or high schools, teaching physics concepts and conducting laboratory experiments."
BS TECHNICAL EDUCATION,BSTeED,"BS Technical Education focuses on the training and education of students in technical and vocational skills. The program includes curriculum development, instructional methods, and technical subjects.","Graduates can work as technical education teachers, trainers, or instructors in vocational schools, technical institutes, and community colleges, teaching skills in trades and technical fields."
BS TECHNICIAN EDUCATION,BSTEdu,"BS Technician Education prepares students to teach and train technicians in various technical fields. The program includes technical subject knowledge, teaching methods, and educational psychology.","Graduates can work as technical instructors or trainers in vocational schools, technical institutes, community colleges, or industry training programs, teaching technical skills and knowledge."
BS TECHNICIAN TEACHER EDUCATION,BSTTEd,"BS Technician Teacher Education focuses on preparing students to teach technical and vocational subjects. The program includes technical content, pedagogy, and curriculum design.","Graduates can work as technical and vocational education teachers, trainers, or curriculum developers in vocational schools, technical institutes, and community colleges."
BS TECHNOLOGICAL EDUCATION,BSTEd,"BS Technological Education focuses on the teaching of technology-related subjects. The program includes educational technology, instructional design, and technical subject matter.","Graduates can work as technology educators, instructional designers, or educational technologists in schools, colleges, or corporate training programs."
BS TECHNOLOGY AND LIVELIHOOD EDUCATION,BSTLEd,"BS Technology & Livelihood Education prepares students to teach technology and livelihood subjects such as home economics, entrepreneurship, and technical skills. The program includes pedagogy, curriculum development, and technical skills training.","Graduates can work as technology and livelihood education teachers in schools, vocational training centers, or community education programs, teaching practical skills and entrepreneurship."
BS TEXTILE GARMENT TECHNOLOGY,BSTGT,"BS Textile Garment Technology emphasizes the technological and managerial aspects of textile and garment production. The program covers textile materials, garment manufacturing, and industry-specific technologies.","Graduates can work in the textile and garment industry as textile engineers, garment production managers, quality assurance supervisors, or technical consultants."
BS TOURISM,BSTour,"BS Tourism focuses on the management and development of tourism and hospitality industries. The program includes tourism management, hospitality operations, travel planning, and cultural tourism.","Graduates can work as tourism managers, travel agents, hotel managers, tour operators, or as event coordinators in the tourism and hospitality industry, government tourism agencies, or travel companies."
BS TOURISM AND TRAVEL MANAGEMENT,BSTTM,"BS Tourism and Travel Management prepares students for careers in the tourism and travel industry. The program includes tourism planning, travel agency management, hospitality operations, and cultural tourism.","Graduates can work as travel agents, tourism managers, tour operators, event planners, or hospitality managers in travel companies, tourism boards, hotels, and resorts."
BS TOURISM MANAGEMENT,BSTMgt,"BS Tourism Management focuses on the business and operational aspects of tourism. The program includes tourism marketing, hotel and resort management, travel operations, and tourism planning.","Graduates can work as tourism consultants, hotel managers, travel coordinators, event managers, or tourism development officers in hospitality businesses, tourism boards, and travel companies."
BS UPLAND AGRICULTURAL ENTREPRENEURSHIP,BSUAE,"BS Upland Agricultural Entrepreneurship focuses on sustainable agricultural practices in upland areas. The program includes crop and livestock production, agribusiness management, and sustainable agriculture techniques.","Graduates can work as upland agricultural entrepreneurs, farm managers, agricultural consultants, or project managers in sustainable agriculture initiatives, agribusinesses, and non-governmental organizations."
BS VETERINARY TECHNOLOGY,BSVT,"BS Veterinary Technology prepares students for careers in veterinary medicine and animal care. The program includes veterinary sciences, animal husbandry, diagnostics, and surgical techniques.","Graduates can work as veterinary technologists, veterinary assistants, animal care specialists, or research technicians in veterinary clinics, animal hospitals, research laboratories, or zoos."
BS VOLCANOLOGY,BSVolc,"BS Volcanology focuses on the study of volcanoes, volcanic activity, and related geological phenomena. The program includes geology, geophysics, volcanology, and hazard assessment.","Graduates can work as volcanologists, geologists, hazard assessment specialists, or researchers in government geological agencies, research institutions, and universities."
BS ZOOLOGY,BSZoo,"BS Zoology studies animal biology, including physiology, behavior, ecology, and evolution. The program covers animal anatomy, genetics, wildlife biology, and conservation.","Graduates can work as zoologists, wildlife biologists, conservationists, researchers, or educators in wildlife conservation organizations, research institutions, zoos, and museums."
